Class,Lon,Lat,B10,B11,B1,B2,B3,B4,B5,NO2_column_number_density,B6,B7,sr_aerosol,system:index
highway,-117.2556505,33.85322139,3128.9331648372986,3082.2406940742303,632.0416187758589,807.8993643923768,1211.084119272532,1521.8453306950726,2380.8261524713766,8.864860561002458E-5,2894.9588500646146,2254.8869662933494,126.26214240413593,81_0
highway,-117.2555218,33.85254423,3128.8548396815077,3082.1688367884854,631.4575241253167,807.2159471370661,1210.1514397887092,1520.5707176406402,2379.7611108914684,8.864366345659646E-5,2893.637904680956,2253.636872401214,126.3035626987096,82_0
highway,-117.2551141,33.85247295,3128.8421163924745,3082.1553050156967,631.5596111602935,807.3373247287968,1210.3006231308896,1520.721072510159,2379.7386809410564,8.863683367366229E-5,2893.5391772415005,2253.6660372393376,126.30230945510097,83_0
highway,-117.2549853,33.85193835,3128.7899063036616,3082.1074068402477,631.1703936803418,806.8819232634971,1209.6791469270438,1519.87180531136,2379.0292204405728,8.863354096781982E-5,2892.6593483557003,2252.8333192147556,126.32987214568483,84_0
highway,-117.2548351,33.85147503,3128.7313412520475,3082.052749460119,630.8323986716205,806.4874206323019,1209.1325725129896,1519.09819038481,2378.309112184343,8.862683543362003E-5,2891.73095712015,2252.015861512746,126.35675737533236,85_0
highway,-117.254642,33.8510117,3128.6988845856963,3082.0220445085715,630.6891018797477,806.3207237528784,1208.896891260211,1518.7494464764043,2377.944017788079,8.862177728389613E-5,2891.2428810124798,2251.6151017747798,126.36983584012216,86_0
highway,-117.2545562,33.85047709,3128.6466811785976,3081.9741530148376,630.3000633535459,805.8655323258272,1208.2757251750786,1517.9006541151098,2377.2351245070636,8.861848664116329E-5,2890.3638534966663,2250.7830616537203,126.3973476915736,87_0
highway,-117.2540197,33.84933657,3128.529587824799,3081.86487500401,629.625057581702,805.0776822737747,1207.184281999854,1516.356035868226,2375.798027701627,8.860508691986647E-5,2888.5114785604287,2249.151874719019,126.45083853564255,88_0
highway,-117.2537837,33.8486772,3128.4449544782065,3081.7863052855855,629.0934380786009,804.4566341202644,1206.3286751367561,1515.1603989484868,2374.726308902173,8.859674637984813E-5,2887.1475804168344,2247.9217864740294,126.49122549535599,89_0
highway,-117.2535691,33.84816039,3128.3864261760214,3081.7316846548865,628.7564273154786,804.063286699407,1205.7838063755858,1514.3893956281531,2374.009320352966,8.859005219275107E-5,2886.223596716147,2247.108057241337,126.51783110977735,90_0
industry,-117.2315752,33.83892305,3126.990667463722,3080.376484877665,626.4645723803427,801.4606299253694,1201.5904475116224,1506.5462151379936,2361.643316747511,8.825966410167518E-5,2868.1203013285563,2234.8539771524042,126.88157306663973,91_0
industry,-117.2229063,33.83892305,3126.7897675249856,3080.1626491988372,628.1695464378431,803.4866866900792,1204.1014284686282,1509.1418280475211,2361.5113253244367,8.815121281857626E-5,2866.8612102874677,2235.59177596715,126.84118551608996,92_0
industry,-117.2193873,33.83885176,3126.7081519248736,3080.0757784543134,628.8621921487046,804.3097722507446,1205.121514482415,1510.1962957920196,2361.4577038088123,8.81071544848172E-5,2866.349704552024,2235.891506735642,126.82477807367911,93_0
industry,-117.2581828,33.8366417,3127.377075843237,3080.822316813225,619.4334984790602,793.1375391831486,1191.0170840535327,1494.681514692234,2358.84377803509,8.858031237851179E-5,2868.034747261491,2228.805877563845,127.13192681534504,94_0
industry,-117.2248804,33.81796078,3124.8121137873504,3078.355989775534,613.0079366231897,785.7415531479954,1179.9918786868761,1476.4896620555064,2335.1100462274185,8.805102684029798E-5,2834.573501932922,2204.4349207878713,127.8139325611888,95_0
industry,-117.2199023,33.81753292,3124.66941880569,3078.207770154876,613.8978193274268,786.8015215407306,1181.2970908961265,1477.7976518402631,2334.905677316489,8.798581948698922E-5,2833.709154626984,2204.7299944130373,127.78323291835052,96_0
industry,-117.2374976,33.84241627,3127.4667402366968,3080.8334235350885,627.7845123569163,802.9834548453241,1203.8382308521614,1510.1816586344482,2366.225728993341,8.835519111487552E-5,2874.5355247696857,2239.616200510142,126.74092178548908,97_0
industry,-117.2375834,33.83992113,3127.2327720377853,3080.6188589463136,626.0592056823054,800.9648663444605,1201.0869427955217,1506.4294012232344,2363.1161125870194,8.834067566836564E-5,2870.6934951425,2235.968112788152,126.85751867005689,98_0
industry,-117.2069418,33.83628523,3126.155019763029,3079.5252064910287,629.5003671966745,805.1025279109842,1205.840914864449,1509.9747560370852,2357.9703696115657,8.793232637510623E-5,2860.459883220441,2233.1149204434914,126.88052180014503,99_0
industry,-117.207371,33.83493064,3126.0384957079286,3079.420270703093,628.4594613655037,803.882816469907,1204.1973512150619,1507.7920458411418,2356.3276290322683,8.793131896314821E-5,2858.512300453207,2231.1336095905795,126.94095878621245,100_0
industry,-117.2048819,33.83614264,3126.111189831434,3079.478546866289,629.8764619622855,805.5494034975102,1206.3956190261376,1510.5508560171747,2357.951422828297,8.790863876134663E-5,2860.1984810297736,2233.2881772456763,126.87079733865176,101_0
industry,-117.1963847,33.8354297,3125.8336017569595,3079.1944909217686,631.0411850367067,806.94350237635,1208.04989958214,1511.9881910580941,2356.8933585927175,8.779575078667542E-5,2857.8147802490134,2232.941968528716,126.85937449532835,102_0
industry,-117.1971571,33.8320788,3125.5176742502213,3078.9078035775283,628.4747292292628,803.938166379375,1203.9885715804367,1506.5517785884276,2352.6850537426026,8.778593698901494E-5,2852.766076189508,2227.9272082497937,127.00729015501862,103_0
industry,-117.196728,33.83093803,3125.408462630986,3078.806811543142,627.7893919168631,803.1374112316555,1202.8930887396002,1505.0400084364828,2351.3882143392466,8.777642151662256E-5,2851.1453766424124,2226.435661945001,127.04984171835497,104_0
industry,-117.2223914,33.81753292,3124.730880397932,3078.273274165897,613.3296715698714,786.126896248843,1180.45116090275,1476.8927424011376,2334.834898793088,8.801930304880851E-5,2833.944350007171,2204.3655463398186,127.80589475647321,105_0
land,-117.2723448,33.83364732,3127.414425012867,3080.904402084004,614.469786048678,787.2789476762607,1183.4277560965697,1485.6535467353651,2354.9900360435076,8.873783134029665E-5,2865.0069099285556,2222.8283796256837,127.36404724888425,106_0
land,-117.2683108,33.83043894,3127.006511550265,3080.516296473416,612.9208030888001,785.4811302394518,1180.8535926503046,1481.740448794407,2350.630562260009,8.866709002239681E-5,2859.0800390500094,2218.1291056197438,127.51415214557339,107_0
land,-117.2711432,33.82302357,3126.3674406199893,3079.9398830342084,606.9920580810347,778.5332045914342,1171.4476256726725,1469.1490047888624,2340.818578361997,8.86589015090482E-5,2847.2400862391974,2206.299587513942,127.92519538104732,108_0
land,-117.2756064,33.82024264,3126.2039937349195,3079.804463586003,604.1172493572681,775.1536925912303,1166.952643606453,1463.4025815680275,2337.0956360816817,8.869578473668915E-5,2843.1291037212077,2201.4783110875765,128.10486007948597,109_0
land,-117.314831,33.84056274,3129.0894627745047,3082.587255188613,611.2281606744508,783.3326664218213,1179.3114857859487,1484.1882504619723,2365.2351245078016,8.931746193712893E-5,2883.184742053297,2230.4535032907324,127.1719478489182,110_0
land,-117.3101103,33.84177467,3129.082059400056,3082.5639516336355,612.997318354513,785.420303051507,1182.0217559928008,1487.4308633574567,2366.6801981774847,8.926340867247261E-5,2884.378003599929,2232.6539400947945,127.08510594419732,111_0
land,-117.3207533,33.8353584,3128.7240620281436,3082.271710940521,606.1569230337968,777.376935414552,1171.331968779213,1473.8010611807895,2357.9473047459787,8.935841842732878E-5,2874.7896501365844,2221.2721260176095,127.5188047131335,112_0
land,-117.3184359,33.83421769,3128.535266384859,3082.090056903745,605.6160700221086,776.7527051012102,1170.402465266189,1472.2823147976646,2355.9865013601857,8.931913904685762E-5,2872.0239962082746,2219.2185313938967,127.58979939142273,113_0
land,-117.2634184,33.82608962,3126.4759582585148,3080.0129621347755,610.769690231431,782.9817762120608,1177.3004121819697,1476.4158402155012,2344.891977469849,8.857978579110618E-5,2851.3491966525153,2211.895931326633,127.71091889041912,114_0
land,-117.250458,33.8254479,3126.1263037237213,3079.6482159032084,613.0425323015353,785.6882272466362,1180.6266717969318,1479.7375348957485,2344.316069608418,8.841502204818557E-5,2849.049131955736,2212.566146126909,127.64818478250682,115_0
land,-117.2515738,33.83172231,3126.7509986935256,3080.2249408368402,617.2830870841321,790.6458847312259,1187.4210882130324,1489.1204200909651,2352.42060366437,8.84661872028369E-5,2859.224579618133,2221.9656100946363,127.34260446633202,116_0
land,-117.2569811,33.8318649,3126.901775861185,3080.3816468853747,616.3882414516783,789.5793123900984,1186.1211398993273,1487.8595235259377,2352.7822465611443,8.853534069833875E-5,2860.3446434124785,2221.830514204736,127.3608396544769,117_0
land,-117.2487414,33.83257787,3126.7668683520424,3080.2303002065337,618.4087101226988,791.9726840898352,1189.1535675328062,1491.2293105074157,2353.472049873184,8.84373389068904E-5,2860.191125837754,2223.4793139125873,127.28608465452513,118_0
land,-117.2680533,33.82708784,3126.6860641811327,3080.2213163425886,610.6144409391077,782.7834705205612,1177.161027438213,1476.66138060598,2346.292532678752,8.864366410183738E-5,2853.6527328235234,2213.063658807599,127.68518030007762,119_0
